RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,target
7055.0,1830.0,9.0,35.0,86.0,6.0,79.0,65.0,5.0,1
2156.0,417.0,21.0,71.0,269.0,104.0,1954.0,8.0,112.0,1
2279.0,318.0,21.0,66.0,50.0,22.0,7.0,64.0,23.0,1
448.0,3862.0,21.0,64.0,213.0,47.0,7.0,64.0,51.0,1
314.0,1143.0,21.0,64.0,139.0,4.0,7.0,64.0,4.0,1
1689.0,180.0,21.0,21.0,142.0,203.0,880.0,22.0,213.0,1
178.0,28.0,21.0,72.0,255.0,242.0,599.0,15.0,252.0,1
194.0,3272.0,21.0,68.0,126.0,46.0,2143.0,66.0,50.0,1
326.0,1444.0,50.0,57.0,35.0,36.0,2084.0,3.0,40.0,1
4038.0,3613.0,21.0,21.0,359.0,269.0,1050.0,17.0,32.0,1
100.0,3183.0,21.0,21.0,278.0,315.0,850.0,5.0,6.0,1
5008.0,689.0,21.0,71.0,116.0,137.0,476.0,24.0,147.0,1
5415.0,2006.0,21.0,71.0,99.0,44.0,1294.0,15.0,48.0,1
1336.0,1811.0,21.0,58.0,133.0,113.0,172.0,30.0,122.0,1
645.0,1867.0,21.0,68.0,126.0,52.0,1256.0,14.0,56.0,1
314.0,943.0,21.0,74.0,6.0,155.0,521.0,26.0,164.0,1
2582.0,2427.0,21.0,66.0,50.0,4.0,1901.0,64.0,4.0,1
1301.0,3059.0,70.0,100.0,100.0,50.0,633.0,17.0,54.0,1
3807.0,2387.0,21.0,58.0,41.0,120.0,182.0,64.0,129.0,1
5253.0,3304.0,64.0,84.0,23.0,36.0,65.0,3.0,40.0,0
376.0,528.0,21.0,36.0,95.0,4.0,7.0,64.0,4.0,1
4790.0,380.0,21.0,58.0,225.0,196.0,673.0,22.0,206.0,1
5093.0,2934.0,20.0,20.0,152.0,315.0,124.0,5.0,6.0,1
7035.0,92.0,21.0,58.0,171.0,22.0,7.0,64.0,23.0,1
5567.0,3783.0,21.0,68.0,422.0,20.0,2313.0,8.0,21.0,1
314.0,1154.0,21.0,66.0,121.0,4.0,7.0,64.0,4.0,1
6703.0,522.0,21.0,68.0,70.0,4.0,1901.0,64.0,4.0,1
6447.0,3008.0,21.0,36.0,151.0,4.0,7.0,64.0,4.0,1
39.0,62.0,21.0,64.0,59.0,28.0,599.0,15.0,29.0,1
645.0,554.0,53.0,63.0,198.0,86.0,2135.0,9.0,94.0,0
4617.0,160.0,21.0,58.0,301.0,11.0,167.0,5.0,11.0,1
302.0,1145.0,21.0,74.0,91.0,47.0,77.0,64.0,51.0,1
756.0,3297.0,21.0,22.0,7.0,315.0,1489.0,5.0,6.0,1
6350.0,530.0,72.0,93.0,87.0,124.0,2301.0,14.0,133.0,1
2390.0,2645.0,60.0,51.0,41.0,22.0,7.0,64.0,23.0,1
6058.0,226.0,21.0,66.0,166.0,123.0,85.0,28.0,132.0,1
2360.0,338.0,21.0,21.0,359.0,78.0,1000.0,24.0,85.0,1
7492.0,3612.0,63.0,83.0,12.0,52.0,1256.0,14.0,56.0,1
7062.0,629.0,21.0,71.0,99.0,4.0,1901.0,64.0,4.0,1
3506.0,3021.0,21.0,64.0,87.0,27.0,1321.0,14.0,28.0,1
5242.0,975.0,21.0,58.0,171.0,17.0,7.0,64.0,18.0,1
3190.0,1214.0,21.0,68.0,126.0,75.0,739.0,14.0,82.0,1
6297.0,1938.0,21.0,72.0,273.0,40.0,160.0,66.0,44.0,1
4589.0,1875.0,21.0,64.0,107.0,340.0,490.0,9.0,24.0,1
2567.0,1095.0,9.0,7.0,362.0,22.0,7.0,64.0,23.0,1
3601.0,62.0,21.0,64.0,138.0,28.0,599.0,15.0,29.0,1
327.0,1551.0,64.0,84.0,23.0,36.0,378.0,3.0,40.0,1
2340.0,2387.0,21.0,66.0,41.0,47.0,214.0,64.0,51.0,1
630.0,1160.0,21.0,68.0,59.0,4.0,7.0,64.0,4.0,1
327.0,3665.0,50.0,57.0,35.0,3.0,4.0,3.0,3.0,1
1060.0,4113.0,68.0,88.0,132.0,27.0,2238.0,14.0,28.0,1
1110.0,1741.0,78.0,103.0,125.0,26.0,2274.0,13.0,27.0,1
3493.0,3862.0,21.0,64.0,213.0,22.0,7.0,64.0,23.0,1
3460.0,4214.0,54.0,65.0,430.0,37.0,512.0,21.0,41.0,1
1013.0,1938.0,21.0,72.0,273.0,40.0,160.0,66.0,44.0,1
6103.0,828.0,53.0,63.0,167.0,60.0,2052.0,8.0,66.0,1
2920.0,3018.0,4.0,3.0,13.0,0.0,2.0,3.0,0.0,1
4185.0,2515.0,79.0,104.0,72.0,240.0,1651.0,36.0,250.0,1
884.0,368.0,21.0,68.0,93.0,47.0,1370.0,64.0,51.0,1
6086.0,2310.0,21.0,21.0,54.0,32.0,2313.0,9.0,36.0,1
6485.0,2286.0,21.0,64.0,178.0,119.0,2338.0,13.0,128.0,1
4277.0,2062.0,21.0,64.0,304.0,22.0,7.0,64.0,23.0,1
4672.0,217.0,34.0,39.0,392.0,233.0,879.0,31.0,243.0,1
1488.0,432.0,21.0,58.0,205.0,113.0,172.0,30.0,122.0,1
7126.0,416.0,21.0,66.0,120.0,40.0,2143.0,66.0,44.0,1
4936.0,1598.0,54.0,65.0,345.0,83.0,1399.0,21.0,91.0,1
2942.0,2339.0,11.0,32.0,83.0,315.0,1348.0,5.0,6.0,1
4587.0,3854.0,98.0,139.0,269.0,52.0,1453.0,14.0,56.0,1
4984.0,2006.0,21.0,71.0,339.0,28.0,425.0,15.0,29.0,1
5188.0,1047.0,23.0,106.0,19.0,1.0,8.0,5.0,1.0,1
4729.0,1160.0,21.0,68.0,232.0,22.0,7.0,64.0,23.0,0
5566.0,1731.0,21.0,72.0,341.0,83.0,519.0,21.0,91.0,1
828.0,2791.0,51.0,60.0,86.0,61.0,79.0,65.0,67.0,1
2325.0,562.0,72.0,93.0,242.0,92.0,2350.0,14.0,100.0,1
194.0,3212.0,21.0,36.0,106.0,22.0,7.0,64.0,23.0,1
5703.0,1158.0,21.0,64.0,139.0,4.0,7.0,64.0,4.0,1
4625.0,3933.0,54.0,75.0,140.0,22.0,7.0,64.0,23.0,1
2096.0,3326.0,9.0,7.0,69.0,8.0,49.0,5.0,8.0,0
394.0,3008.0,3.0,34.0,33.0,88.0,1402.0,7.0,96.0,1
3636.0,3812.0,75.0,97.0,128.0,4.0,190.0,64.0,4.0,1
4691.0,641.0,21.0,68.0,93.0,22.0,7.0,64.0,23.0,1
2954.0,699.0,48.0,55.0,62.0,83.0,2191.0,21.0,91.0,1
1098.0,1117.0,21.0,58.0,85.0,21.0,1402.0,7.0,22.0,1
5065.0,2278.0,21.0,36.0,161.0,22.0,7.0,64.0,23.0,1
7504.0,1704.0,21.0,64.0,51.0,56.0,2273.0,13.0,60.0,1
811.0,2440.0,21.0,66.0,69.0,55.0,491.0,13.0,59.0,1
3104.0,1156.0,21.0,58.0,52.0,4.0,1901.0,64.0,4.0,1
5566.0,2440.0,21.0,66.0,69.0,56.0,857.0,13.0,60.0,1
2310.0,1579.0,21.0,64.0,59.0,22.0,7.0,64.0,23.0,1
498.0,3159.0,4.0,3.0,13.0,0.0,1389.0,3.0,0.0,1
1987.0,4081.0,68.0,88.0,132.0,27.0,350.0,14.0,28.0,1
1552.0,2024.0,21.0,71.0,266.0,22.0,7.0,64.0,23.0,1
5075.0,533.0,21.0,68.0,158.0,192.0,354.0,14.0,202.0,1
1411.0,939.0,21.0,66.0,204.0,38.0,161.0,22.0,42.0,1
375.0,3149.0,21.0,64.0,8.0,340.0,1649.0,9.0,24.0,1
182.0,929.0,21.0,74.0,82.0,112.0,841.0,26.0,121.0,1
2812.0,180.0,21.0,21.0,142.0,203.0,1023.0,22.0,213.0,1
76.0,735.0,21.0,64.0,296.0,103.0,2334.0,14.0,111.0,1
3383.0,3343.0,49.0,56.0,18.0,0.0,3.0,3.0,0.0,1
2392.0,2537.0,21.0,66.0,229.0,40.0,312.0,66.0,44.0,1
7465.0,1074.0,21.0,21.0,142.0,19.0,39.0,64.0,20.0,1
135.0,22.0,21.0,72.0,255.0,4.0,2178.0,64.0,4.0,1
1884.0,2846.0,75.0,97.0,128.0,22.0,7.0,64.0,23.0,1
6755.0,2085.0,21.0,22.0,234.0,178.0,728.0,28.0,188.0,1
2678.0,3519.0,19.0,18.0,104.0,85.0,2320.0,4.0,93.0,1
3347.0,3022.0,21.0,74.0,209.0,4.0,7.0,64.0,4.0,1
670.0,2582.0,21.0,74.0,176.0,166.0,278.0,4.0,175.0,1
2042.0,1699.0,21.0,36.0,161.0,4.0,7.0,64.0,4.0,1
5884.0,146.0,21.0,21.0,109.0,38.0,2280.0,22.0,42.0,1
1023.0,129.0,21.0,64.0,232.0,22.0,7.0,64.0,23.0,1
5065.0,2876.0,21.0,74.0,286.0,4.0,7.0,64.0,4.0,1
3330.0,654.0,21.0,58.0,171.0,40.0,2143.0,66.0,44.0,1
244.0,2722.0,21.0,21.0,61.0,11.0,163.0,5.0,11.0,1
1444.0,180.0,21.0,21.0,142.0,203.0,2273.0,22.0,213.0,1
4964.0,3621.0,21.0,66.0,67.0,242.0,590.0,15.0,252.0,1
2950.0,4074.0,33.0,38.0,13.0,0.0,32.0,3.0,0.0,0
5075.0,2392.0,58.0,77.0,80.0,208.0,454.0,46.0,218.0,1
1494.0,2039.0,69.0,89.0,19.0,0.0,4.0,3.0,0.0,1
1030.0,979.0,21.0,58.0,225.0,22.0,7.0,64.0,23.0,1
2645.0,1565.0,21.0,66.0,41.0,163.0,281.0,39.0,172.0,1
3355.0,2366.0,30.0,31.0,18.0,3.0,4.0,3.0,3.0,1
4159.0,783.0,21.0,64.0,363.0,124.0,2163.0,14.0,133.0,1
5601.0,1686.0,43.0,50.0,164.0,83.0,2311.0,21.0,91.0,1
4419.0,2351.0,21.0,21.0,117.0,22.0,7.0,64.0,23.0,1
5567.0,284.0,21.0,64.0,296.0,42.0,2250.0,8.0,46.0,1
667.0,3910.0,21.0,72.0,273.0,235.0,2258.0,1.0,245.0,1
1410.0,3292.0,93.0,128.0,67.0,28.0,399.0,15.0,29.0,1
5595.0,1135.0,21.0,64.0,101.0,47.0,1033.0,64.0,51.0,1
574.0,673.0,21.0,58.0,225.0,22.0,7.0,64.0,23.0,1
4173.0,1918.0,21.0,36.0,284.0,96.0,1459.0,63.0,104.0,1
4078.0,64.0,21.0,72.0,366.0,22.0,1901.0,64.0,23.0,1
151.0,129.0,21.0,64.0,232.0,22.0,7.0,64.0,23.0,1
5566.0,311.0,21.0,64.0,307.0,4.0,7.0,64.0,4.0,1
834.0,3582.0,11.0,32.0,18.0,36.0,2239.0,3.0,40.0,1
337.0,1616.0,18.0,17.0,20.0,18.0,1687.0,65.0,19.0,1
7422.0,1111.0,21.0,58.0,225.0,163.0,964.0,39.0,172.0,1
6232.0,616.0,21.0,68.0,108.0,4.0,7.0,64.0,4.0,1
4934.0,2006.0,21.0,71.0,92.0,28.0,1653.0,15.0,29.0,1
2498.0,1733.0,21.0,64.0,178.0,119.0,2338.0,13.0,128.0,1
2909.0,4184.0,36.0,41.0,23.0,1.0,24.0,5.0,1.0,1
314.0,1485.0,21.0,68.0,164.0,108.0,2010.0,39.0,117.0,1
1411.0,3875.0,21.0,66.0,204.0,4.0,7.0,64.0,4.0,1
4729.0,93.0,21.0,68.0,232.0,184.0,1045.0,11.0,194.0,1
1309.0,3476.0,59.0,78.0,48.0,11.0,2332.0,5.0,11.0,1
5101.0,2831.0,43.0,50.0,26.0,9.0,2170.0,63.0,9.0,1
4311.0,2330.0,11.0,32.0,83.0,315.0,1061.0,5.0,6.0,1
2671.0,4103.0,53.0,63.0,31.0,13.0,30.0,61.0,13.0,1
6503.0,123.0,21.0,36.0,292.0,4.0,7.0,64.0,4.0,1
2275.0,1582.0,21.0,21.0,142.0,11.0,349.0,5.0,11.0,1
6339.0,1664.0,98.0,136.0,373.0,290.0,2328.0,13.0,298.0,1
3323.0,2151.0,54.0,65.0,424.0,184.0,2085.0,11.0,194.0,1
4682.0,280.0,21.0,21.0,68.0,31.0,2295.0,19.0,35.0,1
815.0,180.0,21.0,21.0,142.0,203.0,1023.0,22.0,213.0,1
140.0,315.0,21.0,66.0,271.0,22.0,1901.0,64.0,23.0,1
2092.0,141.0,21.0,68.0,108.0,53.0,458.0,14.0,57.0,1
3083.0,1138.0,55.0,69.0,289.0,251.0,391.0,66.0,260.0,1
3729.0,629.0,21.0,71.0,92.0,22.0,7.0,64.0,23.0,1
5566.0,2352.0,60.0,51.0,41.0,38.0,2280.0,22.0,42.0,1
915.0,4119.0,21.0,68.0,365.0,33.0,2133.0,6.0,37.0,1
2545.0,879.0,3.0,34.0,33.0,4.0,7.0,64.0,4.0,1
182.0,1606.0,21.0,58.0,291.0,86.0,554.0,9.0,94.0,1
1060.0,3623.0,21.0,68.0,59.0,32.0,2346.0,9.0,36.0,1
6475.0,664.0,21.0,64.0,138.0,4.0,7.0,64.0,4.0,1
3500.0,3736.0,54.0,75.0,72.0,86.0,2313.0,9.0,94.0,1
20.0,147.0,21.0,66.0,0.0,22.0,7.0,64.0,23.0,1
616.0,449.0,21.0,58.0,205.0,65.0,162.0,30.0,72.0,1
2142.0,3559.0,29.0,30.0,13.0,36.0,2199.0,3.0,40.0,0
319.0,2441.0,21.0,68.0,282.0,87.0,205.0,64.0,95.0,1
726.0,4115.0,21.0,58.0,280.0,22.0,1901.0,64.0,23.0,1
3423.0,3051.0,38.0,44.0,18.0,0.0,3.0,3.0,0.0,1
674.0,1814.0,51.0,60.0,86.0,217.0,1594.0,65.0,227.0,1
1946.0,2261.0,21.0,71.0,116.0,83.0,1519.0,21.0,91.0,1
6833.0,2440.0,21.0,66.0,69.0,56.0,2338.0,13.0,60.0,1
615.0,1811.0,21.0,58.0,281.0,113.0,471.0,30.0,122.0,1
3172.0,622.0,21.0,64.0,107.0,11.0,21.0,5.0,11.0,1
2765.0,3607.0,21.0,71.0,49.0,4.0,7.0,64.0,4.0,1
2254.0,3090.0,21.0,68.0,181.0,4.0,7.0,64.0,4.0,1
3507.0,1872.0,21.0,36.0,212.0,103.0,2326.0,14.0,111.0,1
879.0,371.0,21.0,72.0,65.0,47.0,7.0,64.0,51.0,1
3136.0,3891.0,3.0,34.0,24.0,28.0,425.0,15.0,29.0,1
3362.0,2327.0,21.0,74.0,94.0,41.0,1015.0,24.0,45.0,1
319.0,130.0,21.0,64.0,59.0,4.0,7.0,64.0,4.0,0
3311.0,2605.0,45.0,1.0,19.0,0.0,3.0,3.0,0.0,1
194.0,1482.0,21.0,58.0,41.0,47.0,77.0,64.0,51.0,1
2142.0,2401.0,30.0,31.0,19.0,36.0,2199.0,3.0,40.0,1
1205.0,3268.0,21.0,68.0,111.0,40.0,236.0,66.0,44.0,1
1987.0,330.0,53.0,63.0,234.0,26.0,2093.0,13.0,27.0,1
2309.0,62.0,21.0,64.0,232.0,28.0,952.0,15.0,29.0,1
854.0,3341.0,11.0,9.0,19.0,36.0,510.0,3.0,40.0,1
2069.0,1216.0,21.0,21.0,228.0,146.0,150.0,14.0,156.0,1
3331.0,4014.0,54.0,75.0,72.0,30.0,989.0,16.0,31.0,1
3168.0,3003.0,21.0,66.0,120.0,22.0,7.0,64.0,23.0,0
6462.0,1100.0,21.0,68.0,158.0,22.0,1901.0,64.0,23.0,1
1247.0,525.0,21.0,68.0,198.0,27.0,2238.0,14.0,28.0,1
6209.0,4089.0,86.0,114.0,234.0,119.0,2338.0,13.0,128.0,1
5232.0,3739.0,98.0,136.0,164.0,219.0,2212.0,21.0,229.0,1
1386.0,1705.0,21.0,68.0,373.0,46.0,2143.0,66.0,50.0,0
360.0,380.0,21.0,58.0,225.0,38.0,2280.0,22.0,42.0,1
4067.0,1556.0,78.0,103.0,187.0,22.0,7.0,64.0,23.0,1
1329.0,261.0,21.0,72.0,447.0,123.0,1221.0,28.0,132.0,1
4215.0,3302.0,3.0,34.0,99.0,88.0,1402.0,7.0,96.0,1
1023.0,75.0,21.0,64.0,316.0,22.0,52.0,64.0,23.0,1
4729.0,743.0,21.0,64.0,62.0,340.0,1731.0,9.0,24.0,1
5749.0,1487.0,21.0,68.0,70.0,46.0,2143.0,66.0,50.0,1
3819.0,2831.0,43.0,50.0,26.0,9.0,2170.0,63.0,9.0,1
3147.0,340.0,21.0,64.0,307.0,22.0,7.0,64.0,23.0,1
3852.0,522.0,21.0,68.0,70.0,22.0,7.0,64.0,23.0,1
2855.0,2900.0,21.0,66.0,50.0,22.0,7.0,64.0,23.0,1
2632.0,988.0,21.0,68.0,59.0,108.0,1540.0,39.0,117.0,1
3596.0,3015.0,6.0,107.0,328.0,27.0,2238.0,14.0,28.0,1
5065.0,426.0,21.0,74.0,203.0,321.0,741.0,48.0,330.0,1
1177.0,2732.0,53.0,63.0,115.0,139.0,2290.0,13.0,149.0,1
6528.0,652.0,77.0,102.0,128.0,8.0,7.0,5.0,8.0,0
3675.0,1872.0,21.0,36.0,212.0,11.0,21.0,5.0,11.0,1
4883.0,2184.0,21.0,58.0,291.0,46.0,1985.0,66.0,50.0,1
4992.0,1867.0,21.0,68.0,126.0,92.0,1999.0,14.0,100.0,1
3561.0,1713.0,21.0,36.0,207.0,105.0,497.0,14.0,113.0,1
1772.0,1794.0,86.0,114.0,234.0,56.0,326.0,13.0,60.0,1
3427.0,1895.0,3.0,34.0,33.0,19.0,39.0,64.0,20.0,0
1551.0,629.0,21.0,71.0,92.0,22.0,7.0,64.0,23.0,1
507.0,892.0,21.0,64.0,70.0,22.0,7.0,64.0,23.0,1
4436.0,2007.0,21.0,36.0,113.0,4.0,7.0,64.0,4.0,1
1095.0,870.0,21.0,68.0,181.0,4.0,1901.0,64.0,4.0,1
3427.0,1777.0,21.0,36.0,95.0,32.0,2313.0,9.0,36.0,1
4936.0,2346.0,3.0,34.0,36.0,335.0,16.0,61.0,17.0,1
4186.0,2610.0,10.0,92.0,17.0,36.0,153.0,3.0,40.0,0
2376.0,513.0,21.0,68.0,180.0,34.0,715.0,66.0,38.0,1
614.0,143.0,106.0,148.0,81.0,68.0,1959.0,31.0,75.0,1
3991.0,13.0,21.0,74.0,60.0,22.0,7.0,64.0,23.0,1
2142.0,2954.0,10.0,8.0,13.0,36.0,943.0,3.0,40.0,1
5582.0,2676.0,21.0,58.0,52.0,40.0,2211.0,66.0,44.0,1
1641.0,448.0,70.0,100.0,26.0,9.0,19.0,63.0,9.0,1
6953.0,2324.0,21.0,72.0,216.0,47.0,620.0,64.0,51.0,1
5350.0,602.0,21.0,64.0,123.0,47.0,1724.0,64.0,51.0,1
1644.0,87.0,9.0,7.0,215.0,4.0,7.0,64.0,4.0,1
4426.0,2537.0,21.0,66.0,229.0,4.0,1901.0,64.0,4.0,1
319.0,743.0,21.0,64.0,62.0,340.0,2245.0,9.0,24.0,1
2405.0,755.0,21.0,36.0,51.0,119.0,2338.0,13.0,128.0,1
6444.0,118.0,21.0,21.0,117.0,4.0,1901.0,64.0,4.0,1
722.0,3038.0,21.0,68.0,263.0,86.0,810.0,9.0,94.0,1
660.0,121.0,21.0,21.0,117.0,87.0,1818.0,64.0,95.0,1
1131.0,775.0,21.0,64.0,62.0,103.0,2326.0,14.0,111.0,0
5428.0,3002.0,26.0,27.0,392.0,68.0,2132.0,31.0,75.0,1
1834.0,2719.0,21.0,21.0,117.0,22.0,7.0,64.0,23.0,1
1987.0,3116.0,21.0,36.0,207.0,146.0,497.0,14.0,156.0,1
3149.0,3171.0,53.0,63.0,195.0,7.0,218.0,4.0,7.0,0
331.0,3822.0,73.0,95.0,14.0,1.0,8.0,5.0,1.0,1
2665.0,1668.0,21.0,68.0,20.0,83.0,572.0,21.0,91.0,1
194.0,2172.0,21.0,68.0,309.0,22.0,7.0,64.0,23.0,1
1187.0,3449.0,21.0,74.0,131.0,96.0,892.0,63.0,104.0,1
4671.0,2283.0,21.0,68.0,299.0,47.0,7.0,64.0,51.0,1
225.0,996.0,21.0,68.0,232.0,22.0,7.0,64.0,23.0,1
194.0,1567.0,117.0,165.0,218.0,127.0,599.0,15.0,136.0,1
194.0,1508.0,21.0,71.0,53.0,4.0,7.0,64.0,4.0,1
858.0,3425.0,73.0,95.0,14.0,36.0,1025.0,3.0,40.0,0
6358.0,743.0,21.0,64.0,62.0,340.0,2245.0,9.0,24.0,1
3589.0,2360.0,21.0,68.0,263.0,22.0,7.0,64.0,23.0,1
3031.0,1088.0,21.0,71.0,269.0,22.0,7.0,64.0,23.0,1
5285.0,2656.0,104.0,146.0,40.0,250.0,2031.0,33.0,259.0,1
6920.0,2575.0,3.0,34.0,155.0,163.0,281.0,39.0,172.0,1
