FM,LC,BK,SS,AG,YR,CD
0,0,0,0,0.7333333333333332,0.68,0.4444444444444445
0,1,1,0,0.8666666666666667,0.8200000000000001,0.2222222222222222
0,0,0,0,0.8999999999999999,0.88,0.4444444444444445
0,0,0,1,0.6333333333333333,0.38,0.1111111111111111
0,0,1,0,0.7333333333333332,0.72,0.3333333333333333
1,1,1,0,0.4333333333333333,0.56,0.4444444444444445
0,1,1,0,0.0,0.38,0.2666666666666666
0,1,1,0,0.9666666666666668,0.94,0.2222222222222222
0,0,1,0,0.8999999999999999,0.92,0.4444444444444445
1,0,0,0,0.1999999999999999,0.42,0.4444444444444445
1,0,0,1,0.5999999999999999,0.48,0.3333333333333333
1,0,1,0,0.2666666666666666,0.0,0.0
0,0,1,0,0.833333333333333,0.76,0.4444444444444445
0,1,0,1,0.1999999999999999,0.38,0.3333333333333333
1,0,0,0,0.8999999999999999,0.78,0.4444444444444445
0,0,0,1,0.7666666666666666,0.68,0.0222222222222222
0,0,0,1,0.833333333333333,0.28,0.6666666666666667
0,0,0,1,1.0,0.0,0.0
0,0,0,1,0.7666666666666666,0.0,0.0
0,1,1,0,0.833333333333333,0.8,0.3333333333333333
0,1,0,1,0.9333333333333332,0.9,0.2222222222222222
0,0,1,0,0.6333333333333333,0.44,0.5555555555555556
0,0,0,1,0.7333333333333332,0.8200000000000001,0.2666666666666666
0,1,0,0,0.8666666666666667,0.9,0.4444444444444445
0,1,0,0,0.7999999999999998,0.56,0.3333333333333333
0,1,1,0,0.8999999999999999,0.88,0.3333333333333333
0,0,0,1,0.4666666666666665,0.34,0.2222222222222222
0,1,1,1,0.5,0.62,0.4444444444444445
0,0,0,0,0.7,0.78,0.4444444444444445
0,0,0,1,0.8666666666666667,0.86,0.4444444444444445
0,0,0,0,0.7999999999999998,0.84,0.2666666666666666
1,0,1,1,0.833333333333333,0.0,0.0
0,0,1,1,0.7666666666666666,0.78,0.2666666666666666
0,0,1,0,0.8999999999999999,0.8,0.2222222222222222
0,1,0,0,0.6333333333333333,0.7000000000000001,0.888888888888889
1,0,1,0,0.3999999999999999,0.5,0.3333333333333333
0,1,0,1,0.6333333333333333,0.52,0.5555555555555556
0,0,0,0,0.833333333333333,0.56,0.4
0,0,0,0,0.7,0.44,0.2222222222222222
0,0,0,1,0.1666666666666665,0.34,0.3333333333333333
0,0,0,0,0.5999999999999999,0.36,0.2222222222222222
0,0,0,0,0.5333333333333332,0.38,0.3333333333333333
0,0,1,1,0.7666666666666666,0.5,0.3333333333333333
1,0,1,0,0.833333333333333,0.4,0.2222222222222222
0,0,0,1,0.833333333333333,0.0,0.0
0,1,1,0,0.8999999999999999,0.84,0.4444444444444445
0,0,0,0,0.9333333333333332,0.88,0.1333333333333333
1,1,0,0,0.8666666666666667,0.58,0.4444444444444445
0,1,1,0,0.3999999999999999,0.62,0.4444444444444445
0,0,0,0,0.5999999999999999,0.8200000000000001,0.6666666666666667
0,0,0,1,0.8999999999999999,0.78,0.5555555555555556
1,1,1,0,0.7999999999999998,0.0,0.0
0,0,0,0,0.9333333333333332,0.68,0.2222222222222222
0,0,0,1,0.4666666666666665,0.1,0.0888888888888888
0,1,1,1,0.9333333333333332,0.86,0.6666666666666667
0,1,1,0,0.8999999999999999,0.84,0.4444444444444445
1,0,0,0,0.9333333333333332,0.14,0.0444444444444444
0,1,1,0,0.6333333333333333,0.66,0.2222222222222222
0,0,1,1,0.5,0.6,0.8222222222222223
0,0,1,1,0.8666666666666667,0.0,0.0
1,0,1,1,0.2999999999999998,0.32,0.1111111111111111
0,1,0,0,0.8999999999999999,0.64,0.0666666666666666
0,1,0,0,0.6333333333333333,0.72,0.5555555555555556
0,1,0,0,0.5333333333333332,0.66,0.4444444444444445
0,0,0,0,0.9666666666666668,0.0,0.0
0,1,0,1,0.4666666666666665,0.48,0.3333333333333333
0,0,0,1,0.8999999999999999,0.78,0.4444444444444445
0,1,1,0,0.7666666666666666,0.76,0.3333333333333333
0,1,1,0,0.6333333333333333,0.72,0.4444444444444445
0,0,1,1,0.1666666666666665,0.42,0.1777777777777777
0,0,0,0,0.0,0.32,0.0444444444444444
0,0,0,0,0.8666666666666667,0.44,0.3333333333333333
1,0,0,0,0.4666666666666665,0.46,0.2666666666666666
1,0,1,0,0.2999999999999998,0.48,0.0888888888888888
0,0,0,1,0.9333333333333332,0.6,0.4444444444444445
0,0,1,0,0.8999999999999999,0.8,0.4444444444444445
0,1,1,1,0.8999999999999999,0.94,0.3555555555555555
1,1,1,0,0.5666666666666667,0.66,0.1333333333333333
0,0,0,1,0.0999999999999998,0.26,0.5555555555555556
0,1,1,1,0.8999999999999999,0.26,0.4444444444444445
1,0,1,0,0.7666666666666666,0.72,0.5555555555555556
0,0,0,0,0.7,0.76,0.4444444444444445
0,1,1,1,0.7333333333333332,0.8,0.3333333333333333
0,0,0,0,0.1999999999999999,0.5,0.5555555555555556
0,1,1,0,0.2999999999999998,0.48,0.3333333333333333
1,0,0,1,0.3333333333333332,0.0,0.0
0,0,1,0,0.8666666666666667,0.0,0.0
1,0,0,0,0.3999999999999999,0.5,0.3333333333333333
1,0,1,0,0.3999999999999999,0.0,0.0
0,0,1,0,0.3999999999999999,0.3,0.2222222222222222
0,0,1,0,0.0333333333333332,0.4,0.4444444444444445
